Brand;Price_USD
Mercedes;73407
Nissan;79370
Nissan;76549
Nissan;48722
Hyundai;83265
Tesla;63134
Audi;74241
Tesla;54364
Audi;65750
Honda;8511
Ford;22948
Tesla;35738
Tesla;57947
Audi;20195
Audi;100638
Toyota;109313
BMW;78610
Tesla;58073
Nissan;56037
Tesla;117420
Audi;36761
Toyota;104852
Kia;111964
Tesla;110968
BMW;48361
Mercedes;113889
Nissan;51466
BMW;118590
Mercedes;116822
BMW;57663
Honda;36963
Ford;10169
Ford;90223
Audi;40145
Kia;16605
Tesla;26839
Toyota;91023
Honda;51724
Honda;107267
Nissan;119093
Audi;8260
Tesla;45140
Ford;100791
Kia;53199
Ford;49454
Toyota;21924
Ford;74432
BMW;47028
Tesla;76535
Hyundai;10305
Ford;30006
Mercedes;41727
Ford;53244
Nissan;76820
Nissan;34660
Honda;61620
Ford;89666
Mercedes;7376
Hyundai;15533
Tesla;26030
Kia;94338
Toyota;107140
Toyota;97963
Audi;89404
Hyundai;8438
BMW;29850
Hyundai;7703
Ford;117850
Mercedes;86719
Nissan;63738
Kia;29558
BMW;75514
Nissan;106739
Tesla;29000
Ford;76983
Kia;119587
Nissan;73201
BMW;28588
Tesla;119258
Ford;114221
Toyota;50814
Tesla;12319
Honda;84035
Hyundai;87233
BMW;70411
Audi;18792
Honda;22091
Kia;5221
Hyundai;5989
Ford;12591
Kia;10728
Hyundai;61508
Nissan;7283
Ford;74935
Hyundai;83841
Ford;51708
Honda;79534
Audi;25809
Hyundai;22245
Ford;52934
Honda;38522
BMW;12406
Tesla;95899
Nissan;87674
Hyundai;9197
Nissan;117199
Toyota;18962
Tesla;23687
BMW;13047
Honda;18918
Nissan;27328
Tesla;64566
BMW;47553
Mercedes;112236
Ford;104688
Toyota;42173
Mercedes;53599
BMW;34874
Hyundai;54163
Tesla;77525
Ford;23612
Kia;25946
Nissan;49232
Kia;9581
Audi;106072
BMW;10700
Audi;115025
Ford;110016
Kia;68618
Toyota;98630
Nissan;10458
Audi;102101
Tesla;46319
Honda;19130
Nissan;25345
BMW;19354
Ford;57492
Tesla;15201
Nissan;105856
Honda;101142
Nissan;40509
Nissan;23796
Toyota;117883
Nissan;20621
Tesla;70833
Nissan;117882
Mercedes;28805
BMW;78741
BMW;65230
Honda;86302
Hyundai;78797
Ford;36600
Toyota;100637
Toyota;103966
Mercedes;59467
Toyota;46924
Audi;7546
Nissan;106912
Honda;49411
Tesla;37163
Kia;35555
Audi;96826
Nissan;114015
Audi;20494
Toyota;114361
Mercedes;100281
Honda;13058
Audi;20921
Kia;54604
Ford;59275
Mercedes;90704
Hyundai;56406
Tesla;84228
Mercedes;103618
Ford;6365
BMW;89524
Mercedes;89925
Hyundai;105320
BMW;79234
Honda;54789
Kia;84238
Kia;89771
Toyota;78241
Tesla;52431
Tesla;100280
Honda;109215
Audi;49872
Hyundai;108098
Nissan;11057
Ford;67062
BMW;37991
Ford;85567
Nissan;22274
Ford;41421
Nissan;36019
Audi;33420
Kia;103573
Toyota;74817
Hyundai;37993
Toyota;55827
Toyota;22572
Toyota;100546
Mercedes;20252
Audi;14652
Toyota;64106
BMW;105091
Hyundai;26153
Toyota;59533
Mercedes;105260
Tesla;79161
Tesla;37900
Mercedes;100900
Toyota;30465
Ford;21753
Nissan;8766
Kia;9260
Tesla;64752
BMW;109464
Kia;88901
Toyota;116860
Ford;14195
Hyundai;61460
Tesla;95455
Nissan;104211
Hyundai;69086
BMW;8932
Hyundai;81677
Ford;51434
Mercedes;108152
Nissan;29828
Mercedes;22944
Toyota;38889
Toyota;62946
Nissan;108928
Nissan;88298
Mercedes;92232
Nissan;45225
Nissan;50902
Toyota;5818
Mercedes;63238
Toyota;40284
BMW;37370
Kia;49552
Tesla;47850
Tesla;28272
Nissan;5358
Kia;19507
Kia;71626
Nissan;43715
BMW;79024
Tesla;48374
Nissan;47010
Toyota;54101
Mercedes;11756
Ford;59084
Audi;110237
Audi;74922
Hyundai;96959
Toyota;82581
Mercedes;22283
BMW;87875
Nissan;6286
Tesla;75150
Hyundai;110459
Kia;114695
Hyundai;55367
Ford;38970
Toyota;58231
Toyota;99029
BMW;83695
Tesla;67060
Honda;40790
Ford;27993
Mercedes;11442
Kia;94659
Toyota;19551
Tesla;46533
Mercedes;108404
Mercedes;107351
Hyundai;105542
Honda;70352
Hyundai;5407
Hyundai;71208
Ford;103021
Nissan;111581
Honda;11380
Nissan;44882
Toyota;20435
Hyundai;61551
Mercedes;36575
Audi;86947
Kia;85685
Kia;63413
Hyundai;87124
BMW;68006
Audi;74301
Ford;97523
Mercedes;66351
Ford;85653
Kia;118185
